,Title,Author names,ORCID,PubMed ID,PMC,DOI,Abstract,combined_DAS,all_urls
0,Famotidine activates the vagus nerve inflammatory reflex to attenuate cytokine storm,"['Huan Yang', 'Sam J. George', 'Dane A. Thompson', 'Harold A. Silverman', 'TÃ©a Tsaava', 'Aisling Tynan', 'Valentin A. Pavlov', 'Eric H. Chang', 'Ulf Andersson', 'Michael Brines', 'Sangeeta S. Chavan', 'Kevin J. Tracey']",['http://orcid.org/0000-0001-8796-5523'],35578169,['9109205'],['10.1186/s10020-022-00483-8'],[],['The datasets analyzed during the current study are available from the corresponding author on reasonable request.'],[]
1,A synthetic KLHL20 ligand to validate CUL3,"['Brian M. Farrell', 'Fabian Gerth', 'Cheng-Hao R. Yang', 'Johannes T.-H. Yeh']",[],36328355,['9732910'],['10.1101/gad.349717.122'],"['In this Resource/Methodology, Farrell et al. designed a macrocyclic bispecific degrader targeting BET proteins and validated CUL3', ' as an E3 ligase system suitable for TPD. This work thus contributes to the expansion of usable E3 ligases for potential drug development.', 'Targeted protein degradation (TPD) has risen as a promising therapeutic modality. Leveraging the catalytic nature of the ubiquitinâ€“proteasome enzymatic machinery, TPD exhibits higher potency to eliminate disease-causing target proteins such as oncogenic transcription factors that may otherwise be difficult to abrogate by conventional inhibitors. However, there are challenges that remain. Currently, nearly all degraders engage CUL4', ' or CUL2', ' as the E3 ligase for target ubiquitination. While their immediate efficacies are evident, the narrowed E3 ligase options make TPD vulnerable to potential drug resistance. In addition, E3 ligases show differential tissue expression and have intrinsic limitations in accessing varying types of disease-relevant targets. As the success of TPD is closely associated with the ability of E3 ligases to efficiently polyubiquitinate the target of interest, the long-term outlook of TPD drug development will depend on whether E3 ligases such as CUL4', ' and CUL2', ' are accessible to the targets of interest. To overcome these potential caveats, a broad collection of actionable E3 ligases is required. Here, we designed a macrocyclic degrader engaging CUL3', ' for targeting BET proteins and validated CUL3', ' as an E3 ligase system suitable for TPD. This work thus contributes to the expansion of usable E3 ligases for potential drug development.']",[],[]
2,Diversifying the genomic data science research community,[],"['http://orcid.org/0000-0003-3623-4151', 'http://orcid.org/0000-0002-1833-4397', 'http://orcid.org/0000-0001-9363-6013', 'http://orcid.org/0000-0002-2873-2671', 'http://orcid.org/0000-0002-3752-1606', 'http://orcid.org/0000-0002-0359-994X', 'http://orcid.org/0000-0002-4118-4446', 'http://orcid.org/0000-0003-3880-9211']",35858750,['9341509'],['10.1101/gr.276496.121'],"['Over the past 20 years, the explosion of genomic data collection and the cloud computing revolution have made computational and data science research accessible to anyone with a web browser and an internet connection. However, students at institutions with limited resources have received relatively little exposure to curricula or professional development opportunities that lead to careers in genomic data science. To broaden participation in genomics research, the scientific community needs to support these programs in local education and research at underserved institutions (UIs). These include community colleges, historically Black colleges and universities, Hispanic-serving institutions, and tribal colleges and universities that support ethnically, racially, and socioeconomically underrepresented students in the United States. We have formed the Genomic Data Science Community Network to support students, faculty, and their networks to identify opportunities and broaden access to genomic data science. These opportunities include expanding access to infrastructure and data, providing UI faculty development opportunities, strengthening collaborations among faculty, recognizing UI teaching and research excellence, fostering student awareness, developing modular and open-source resources, expanding course-based undergraduate research experiences (CUREs), building curriculum, supporting student professional development and research, and removing financial barriers through funding programs and collaborator support.']",[],[]
3,Analysis of archaic human haplotypes suggests that 5hmC acts as an epigenetic guide for NCO recombination,"['Bernett Lee', 'Samantha Leeanne Cyrill', 'Wendy Lee', 'Rossella Melchiotti', 'Anand Kumar Andiappan', 'Michael Poidinger', 'Olaf RÃ¶tzschke']",['http://orcid.org/0000-0001-8336-5248'],35927700,['9354366'],['10.1186/s12915-022-01353-9'],[],"['The datasets analyzed during the current study are from published reports and are publicly available in the Additional file 2: Table S1 and are also listed below.', 'â—è The 1000 Genomes Project Consortium: An integrated map of genetic variation from 1,092 human genomes. Nature 2012, 491(7422):56-65. https://www.internationalgenome.org/', 'â—è Roadmap Epigenomics Consortium, Kundaje A, Meuleman W, Ernst J, Bilenky M, Yen A, Heravi-Moussavi A, Kheradpour P, Zhang Z, Wang J et al: Integrative analysis of 111 reference human epigenomes. Nature 2015, 518(7539):317-330. https://egg2.wustl.edu/roadmap/web_portal/', 'â—è Ritchie GRS, Dunham I, Zeggini E, Flicek P: Functional annotation of non-coding sequence variants. Nature methods 2014, 11(3):294-296. https://www.sanger.ac.uk/sanger/StatGen_Gwava', 'â—è Gulko B, Hubisz MJ, Gronau I, Siepel A: A method for calculating probabilities of fitness consequences for point mutations across the human genome. Nature genetics 2015, 47(3):276-283. http://compgen.cshl.edu/fitCons/', 'â—è Sloan CA, Chan ET, Davidson JM, Malladi VS, Strattan JS, Hitz BC, Gabdank I, Narayanan AK, Ho M, Lee BT et al: ENCODE data at the ENCODE portal. Nucleic acids research 2016, 44(Database issue):D726-D732. https://www.encodeproject.org/ and https://genome.ucsc.edu/encode/', 'â—è Karolchik D, Barber GP, Casper J, Clawson H, Cline MS, Diekhans M, Dreszer TR, Fujita PA, Guruvadoo L, Haeussler M et al: The UCSC Genome Browser database: 2014 update. Nucleic acids research 2014, 42(Database issue):D764-770. https://genome.ucsc.edu/', 'â—è Pratto F, Brick K, Khil P, Smagulova F, Petukhova GV, Camerini-Otero RD: Recombination initiation maps of individual human genomes. Science 2014, 346(6211). 10.1126/science.1256442', 'â—è Szulwach KE, Li X, Li Y, Song C-X, Han JW, Kim S, Namburi S, Hermetz K, Kim JJ, Rudd MK et al: Integrating 5-Hydroxymethylcytosine into the Epigenomic Landscape of Human Embryonic Stem Cells. PLOS Genetics 2011, 7(6):e1002154. 10.1371/journal.pgen.1002154', 'The complete dataset used in this study has been deposited as a tab-delimited text file together with an Excel metadata file describing all the fields within the tab-delimited text file at:', 'â—è Lee, B. Analysis of archaic human haplotypes suggests that 5hmC acts as an epigenetic guide for NCO recombination. 2021. 10.7910/DVN/WA7IUK']","['https://www.internationalgenome.org/', 'https://egg2.wustl.edu/roadmap/web_portal/', 'https://www.sanger.ac.uk/sanger/StatGen_Gwava', 'http://compgen.cshl.edu/fitCons/', 'https://www.encodeproject.org/', 'https://genome.ucsc.edu/encode/', 'https://genome.ucsc.edu/']"
4,Experimental demonstration and pan-structurome prediction of climate-associated riboSNitches in ,"['ÃÅngel Ferrero-Serrano', 'Megan M. Sylvia', 'Peter C. Forstmeier', 'Andrew J. Olson', 'Doreen Ware', 'Philip C. Bevilacqua', 'Sarah M. Assmann']",['http://orcid.org/0000-0003-4541-1594'],35440059,['9017077'],['10.1186/s13059-022-02656-4'],[],"['CLIMtools V2.0 is web-accessible (https://gramene.org/CLIMtools/arabidopsis_v2.0/), and the latest version of its code and data are publicly available (https://github.com/CLIMtools) under the Apache 2.0 open-source license [81]. The results from GWAS and TWAS analyses, genome-wide riboSNitch predictions, as well as code and data for CLIMtools V2.0 have been uploaded to Dryad and Zenodo 10.5061/dryad.mw6m905zj [82].']","['https://gramene.org/CLIMtools/arabidopsis_v2.0/', 'https://github.com/CLIMtools']"
5,MAVE-NN: learning genotype-phenotype maps from multiplex assays of variant effect,"['Ammar Tareen', 'Mahdi Kooshkbaghi', 'Anna Posfai', 'William T. Ireland', 'David M. McCandlish', 'Justin B. Kinney']",['http://orcid.org/0000-0003-1897-3778'],35428271,['9011994'],['10.1186/s13059-022-02661-7'],"['Multiplex assays of variant effect (MAVEs) are a family of methods that includes deep mutational scanning experiments on proteins and massively parallel reporter assays on gene regulatory sequences. Despite their increasing popularity, a general strategy for inferring quantitative models of genotype-phenotype maps from MAVE data is lacking. Here we introduce MAVE-NN, a neural-network-based Python package that implements a broadly applicable information-theoretic framework for learning genotype-phenotype mapsâ€”including biophysically interpretable modelsâ€”from MAVE datasets. We demonstrate MAVE-NN in multiple biological contexts, and highlight the ability of our approach to deconvolve mutational effects from otherwise confounding experimental nonlinearities and noise.']","['MAVE-NN can be installed from PyPI by executing â€œpip install mavennâ€ù at the POSIX command line. Comprehensive documentation, including step-by-step tutorials, is provided [50]. Source code, the data sets analyzed in this paper, and the scripts used for training the models and making the figures presented herein, are available under an MIT open-source license [58]. MAVE-NN version 1.0.1 was used for all of the analysis described in this manuscript and is archived on Zenodo [59].']",[]
6,A global high-density chromatin interaction network reveals functional long-range and trans-chromosomal relationships,"['Ruchi Lohia', 'Nathan Fox', 'Jesse Gillis']","['http://orcid.org/0000-0002-3496-8197', 'http://orcid.org/0000-0002-0936-9774']",36352464,['9647974'],['10.1186/s13059-022-02790-z'],[],"['The meta-Hi-C matrix for human, mouse, and fly are available for download from the online tool at https://gillisweb.cshl.edu/HiC/ or direct download at https://labshare.cshl.edu/shares/gillislab/resource/HiC/ or Figshare [151].']","['https://gillisweb.cshl.edu/HiC/', 'https://labshare.cshl.edu/shares/gillislab/resource/HiC/']"
7,Automated assembly scaffolding using RagTag elevates a new tomato system for high-throughput genome editing,"['Michael Alonge', 'Ludivine Lebeigle', 'Melanie Kirsche', 'Katie Jenike', 'Shujun Ou', 'Sergey Aganezov', 'Xingang Wang', 'Zachary B. Lippman', 'Michael C. Schatz', 'Sebastian Soyk']",['http://orcid.org/0000-0003-0325-4404'],36522651,['9753292'],['10.1186/s13059-022-02823-7'],"['Advancing crop genomics requires efficient genetic systems enabled by high-quality personalized genome assemblies. Here, we introduce RagTag, a toolset for automating assembly scaffolding and patching, and we establish chromosome-scale reference genomes for the widely used tomato genotype M82 along with Sweet-100, a new rapid-cycling genotype that we developed to accelerate functional genomics and genome editing in tomato. This work outlines strategies to rapidly expand genetic systems and genomic resources in other plant species.']","['Genome assemblies and annotations are available at https://github.com/pan-sol/pan-sol-data (10.5281/zenodo.6814693) [59], and the Solanaceae Genomics Network (https://solgenomics.net/ftp/genomes/M82/;https://solgenomics.net/ftp/genomes/Sweet-100/). Raw sequence data is available on SRA under the BioProject PRJNA779684 (https://www.ncbi.nlm.nih.gov/bioproject/PRJNA779684) [60]. Seeds are available on request from S. Soyk. The RagTag software is freely available on GitHub under the MIT license: https://github.com/malonge/RagTag (10.5281/zenodo.5634263) [61, 62].']","['https://github.com/pan-sol/pan-sol-data', 'https://solgenomics.net/ftp/genomes/M82/', 'https://solgenomics.net/ftp/genomes/Sweet-100/', 'https://www.ncbi.nlm.nih.gov/bioproject/PRJNA779684', 'https://github.com/malonge/RagTag']"
8,A-MYB/TCFL5 regulatory architecture ensures the production of pachytene piRNAs in placental mammals,"['Tiangxiong Yu', 'Adriano Biasini', 'Katharine Cecchini', 'Martin SÃ_flund', 'Haiwei Mou', 'Amena Arif', 'Atiyeh Eghbali', 'Dirk G. de Rooij', 'Zhiping Weng', 'Phillip D. Zamore', 'Deniz M. Ã–zata']","['http://orcid.org/0000-0003-1151-4624', 'http://orcid.org/0000-0003-3908-1381', 'http://orcid.org/0000-0002-4902-5167', 'http://orcid.org/0000-0003-3932-4419', 'http://orcid.org/0000-0002-3032-7966', 'http://orcid.org/0000-0002-4505-9618', 'http://orcid.org/0000-0001-5215-8684']",36241367,['9808571'],['10.1261/rna.079472.122'],"['In male mice, the transcription factor A-MYB initiates the transcription of pachytene piRNA genes during meiosis. Here, we report that A-MYB activates the transcription factor ', ' produced in pachytene spermatocytes. Subsequently, A-MYB and TCFL5 reciprocally reinforce their own transcription to establish a positive feedback circuit that triggers pachytene piRNA production. TCFL5 regulates the expression of genes required for piRNA maturation and promotes transcription of evolutionarily young pachytene piRNA genes, whereas A-MYB activates the transcription of older pachytene piRNA genes. Intriguingly, pachytene piRNAs from TCFL5-dependent young loci initiate the production of piRNAs from A-MYB-dependent older loci, ensuring the self-propagation of pachytene piRNAs. A-MYB and TCFL5 act via a set of incoherent feedforward loops that drive regulation of gene expression by pachytene piRNAs during spermatogenesis. This regulatory architecture is conserved in rhesus macaque, suggesting that it was present in the last common ancestor of placental mammals.']",[],[]
9,Rare copy number variation in posttraumatic stress disorder,"['Adam X. Maihofer', 'Worrawat Engchuan', 'Guillaume Huguet', 'Marieke Klein', 'Jeffrey R. MacDonald', 'Omar Shanta', 'Bhooma Thiruvahindrapuram', 'Martineau Jean-louis', 'Zohra Saci', 'Sebastien Jacquemont', 'Stephen W. Scherer', 'Elizabeth Ketema', 'Allison E. Aiello', 'Ananda B. Amstadter', 'Esmina AvdibegoviÄ‡', 'Dragan Babic', 'Dewleen G. Baker', 'Jonathan I. Bisson', 'Marco P. Boks', 'Elizabeth A. Bolger', 'Richard A. Bryant', 'Angela C. Bustamante', 'Jose Miguel Caldas-de-Almeida', 'GraÃ§a Cardoso', 'Jurgen Deckert', 'Douglas L. Delahanty', 'Katharina Domschke', 'Boadie W. Dunlop', 'Alma Dzubur-Kulenovic', 'Alexandra Evans', 'Norah C. Feeny', 'Carol E. Franz', 'Aarti Gautam', 'Elbert Geuze', 'Aferdita Goci', 'Rasha Hammamieh', 'Miro Jakovljevic', 'Marti Jett', 'Ian Jones', 'Milissa L. Kaufman', 'Ronald C. Kessler', 'Anthony P. King', 'William S. Kremen', 'Bruce R. Lawford', 'Lauren A. M. Lebois', 'Catrin Lewis', 'Israel Liberzon', 'Sarah D. Linnstaedt', 'Bozo Lugonja', 'Jurjen J. Luykx', 'Michael J. Lyons', 'Matig R. Mavissakalian', 'Katie A. McLaughlin', 'Samuel A. McLean', 'Divya Mehta', 'Rebecca Mellor', 'Charles Phillip Morris', 'Seid Muhie', 'Holly K. Orcutt', 'Matthew Peverill', 'Andrew Ratanatharathorn', 'Victoria B. Risbrough', 'Albert Rizzo', 'Andrea L. Roberts', 'Alex O. Rothbaum', 'Barbara O. Rothbaum', 'Peter Roy-Byrne', 'Kenneth J. Ruggiero', 'Bart P. F. Rutten', 'Dick Schijven', 'Julia S. Seng', 'Christina M. Sheerin', 'Michael A. Sorenson', 'Martin H. Teicher', 'Monica Uddin', 'Robert J. Ursano', 'Christiaan H. Vinkers', 'Joanne Voisey', 'Heike Weber', 'Sherry Winternitz', 'Miguel Xavier', 'Ruoting Yang', 'Ross McD Young', 'Lori A. Zoellner', 'Rany M. Salem', 'Richard A. Shaffer', 'Tianying Wu', 'Kerry J. Ressler', 'Murray B. Stein', 'Karestan C. Koenen', 'Jonathan Sebat', 'Caroline M. Nievergelt']","['http://orcid.org/0000-0002-4746-6030', 'http://orcid.org/0000-0001-8784-5679', 'http://orcid.org/0000-0001-5058-2393', 'http://orcid.org/0000-0003-1128-008X', 'http://orcid.org/0000-0002-3305-3307', 'http://orcid.org/0000-0001-6838-8767', 'http://orcid.org/0000-0002-1736-9838', 'http://orcid.org/0000-0001-6163-7484', 'http://orcid.org/0000-0002-9607-819X', 'http://orcid.org/0000-0001-8016-1733', 'http://orcid.org/0000-0003-1756-0197', 'http://orcid.org/0000-0002-2550-9132', 'http://orcid.org/0000-0002-4653-0483', 'http://orcid.org/0000-0003-3479-2379', 'http://orcid.org/0000-0002-2899-0216', 'http://orcid.org/0000-0001-5821-5889', 'http://orcid.org/0000-0003-4831-2305', 'http://orcid.org/0000-0002-8629-5609', 'http://orcid.org/0000-0001-5816-9181', 'http://orcid.org/0000-0001-5295-7072', 'http://orcid.org/0000-0002-6439-2774', 'http://orcid.org/0000-0002-7359-348X', 'http://orcid.org/0000-0001-8198-5291', 'http://orcid.org/0000-0001-8976-619X', 'http://orcid.org/0000-0001-8347-3820', 'http://orcid.org/0000-0003-2647-7731', 'http://orcid.org/0000-0001-5023-4399', 'http://orcid.org/0000-0002-8793-7124', 'http://orcid.org/0000-0002-9834-6346', 'http://orcid.org/0000-0003-3773-641X', 'http://orcid.org/0000-0002-6036-0177', 'http://orcid.org/0000-0001-7404-2068', 'http://orcid.org/0000-0001-6645-6164', 'http://orcid.org/0000-0002-9421-1292', 'http://orcid.org/0000-0002-8939-539X', 'http://orcid.org/0000-0001-8816-6862', 'http://orcid.org/0000-0002-5158-1103', 'http://orcid.org/0000-0001-9564-2871', 'http://orcid.org/0000-0003-2978-7655']",36131047,['9763110'],['10.1038/s41380-022-01776-4'],"['Posttraumatic stress disorder (PTSD) is a heritable (', '\u2009=\u200924â€“71%) psychiatric illness. Copy number variation (CNV) is a form of rare genetic variation that has been implicated in the etiology of psychiatric disorders, but no large-scale investigation of CNV in PTSD has been performed. We present an association study of CNV burden and PTSD symptoms in a sample of 114,383 participants (13,036 cases and 101,347 controls) of European ancestry. CNVs were called using two calling algorithms and intersected to a consensus set. Quality control was performed to remove strong outlier samples. CNVs were examined for association with PTSD within each cohort using linear or logistic regression analysis adjusted for population structure and CNV quality metrics, then inverse variance weighted meta-analyzed across cohorts. We examined the genome-wide total span of CNVs, enrichment of CNVs within specified gene-sets, and CNVs overlapping individual genes and implicated neurodevelopmental regions. The total distance covered by deletions crossing over known neurodevelopmental CNV regions was significant (beta\u2009=\u20090.029, SE\u2009=\u20090.005, ', '\u2009=\u20096.3\u2009Ã—\u200910', '). The genome-wide neurodevelopmental CNV burden identified explains 0.034% of the variation in PTSD symptoms. The 15q11.2 BP1-BP2 microdeletion region was significantly associated with PTSD (beta\u2009=\u20090.0206, SE\u2009=\u20090.0056, ', '\u2009=\u20090.0002). No individual significant genes interrupted by CNV were identified. 22 gene pathways related to the function of the nervous system and brain were significant in pathway analysis (FDR ', '\u2009<\u20090.05), but these associations were not significant once NDD regions were removed. A larger sample size, better detection methods, and annotated resources of CNV are needed to explore this relationship further.']",['Code is available from https://github.com/nievergeltlab/cnv_freeze1 or by request to the corresponding author.'],['https://github.com/nievergeltlab/cnv_freeze1']
